ID,Tweet
205,"The West’s unity over Ukraine could be starting to crack, just as Russia’s invasion gains ground https://t.co/JnpxJghlpu"
206,"The West's unity over Ukraine could be starting to crack, just as Russia's invasion gains ground https://t.co/goXBRRHV8d via CNBC #news #CNBC"
207,"CNBC: G-20 finance meetings in Bali overshadowed by war in Ukraine.
https://t.co/1JAhuLWRUg

via @GoogleNews"
208,'Frozen conflict': Ukraine war could last 10 years or more if Russian forces aren't pushed back https://t.co/ZVVA8Rs8SQ
209,"'Frozen conflict': Ukraine war could last 10 years or more if Russian forces aren't pushed back https://t.co/FUVcHlS7xi That is it in a nutshell.  Push them back now, or face a long, super-costly war."
210,‘Frozen conflict’: Ukraine war could last 10 years or more if Russian forces aren’t pushed back https://t.co/nfuJSZm61M #news
211,"'Frozen conflict': Ukraine war could last 10 years or more if Russian forces aren't pushed back
https://t.co/JmJgwhkeYe"
212,'Frozen conflict': Ukraine war could last 10 years or more if Russian forces aren't pushed back https://t.co/W3dtYMrJrK
213,"CNBC: 'Frozen conflict': Ukraine war could last 10 years or more if Russian forces aren't pushed back.
https://t.co/6CGg38Wu24

via @GoogleNews"
214,'Frozen conflict': Ukraine war could last 10 years or more if Russian forces aren't pushed back https://t.co/eLcfM2lle8
215,"‘Frozen conflict’: Ukraine war could last 10 years or more if Russian forces aren’t pushed back

https://t.co/snLxW2QNh5"
216,"The American people aren’t this stupid, I hope. 💲 ⛽️⛽️🚧 ‘Frozen conflict’: Ukraine war could last 10 years or more if Russian forces aren’t pushed back CNBC #NoWar  Reverse the sanctions."
217,'Frozen conflict': Ukraine war could last 10 years or more if Russian forces aren't pushed back https://t.co/iO4yGCAcYz
218,'Frozen conflict': Ukraine war could last 10 years or more if Russian forces aren't pushed back https://t.co/FpnDCnWBeY
